[ Valid | 001/200 ] loss = 2.20627, acc = 0.28688 -> best
[ Valid | 002/200 ] loss = 1.66107, acc = 0.44356 -> best
[ Valid | 003/200 ] loss = 2.42368, acc = 0.32858
[ Valid | 004/200 ] loss = 1.78887, acc = 0.46132 -> best
[ Valid | 005/200 ] loss = 1.87598, acc = 0.44823
[ Valid | 006/200 ] loss = 1.88337, acc = 0.44751
[ Valid | 007/200 ] loss = 1.41401, acc = 0.54968 -> best
[ Valid | 008/200 ] loss = 1.97411, acc = 0.47984
[ Valid | 009/200 ] loss = 1.48799, acc = 0.53534
[ Valid | 010/200 ] loss = 1.34347, acc = 0.55467 -> best
[ Valid | 011/200 ] loss = 1.54542, acc = 0.54357
[ Valid | 012/200 ] loss = 1.92428, acc = 0.47665
[ Valid | 013/200 ] loss = 1.34037, acc = 0.60279 -> best
[ Valid | 014/200 ] loss = 1.80886, acc = 0.51112
[ Valid | 015/200 ] loss = 1.77106, acc = 0.50559
[ Valid | 016/200 ] loss = 1.33894, acc = 0.61109 -> best
[ Valid | 017/200 ] loss = 1.59232, acc = 0.57247
[ Valid | 018/200 ] loss = 1.84171, acc = 0.50335
[ Valid | 019/200 ] loss = 1.57458, acc = 0.57252
[ Valid | 020/200 ] loss = 1.87681, acc = 0.53512
[ Valid | 021/200 ] loss = 1.34246, acc = 0.62628 -> best
[ Valid | 022/200 ] loss = 1.21974, acc = 0.66840 -> best
[ Valid | 023/200 ] loss = 1.26296, acc = 0.63540
[ Valid | 024/200 ] loss = 1.31483, acc = 0.64967
[ Valid | 025/200 ] loss = 1.21640, acc = 0.65710
[ Valid | 026/200 ] loss = 1.10746, acc = 0.70073 -> best
[ Valid | 027/200 ] loss = 1.60684, acc = 0.57675
[ Valid | 028/200 ] loss = 1.32807, acc = 0.62579
[ Valid | 029/200 ] loss = 1.46697, acc = 0.63974
[ Valid | 030/200 ] loss = 1.09237, acc = 0.69549
[ Valid | 031/200 ] loss = 1.20251, acc = 0.67746
[ Valid | 032/200 ] loss = 1.65702, acc = 0.63681
[ Valid | 033/200 ] loss = 1.77352, acc = 0.60664
[ Valid | 034/200 ] loss = 1.14490, acc = 0.70607 -> best
[ Valid | 035/200 ] loss = 2.07811, acc = 0.56268
[ Valid | 036/200 ] loss = 1.17580, acc = 0.69961
[ Valid | 037/200 ] loss = 1.07122, acc = 0.71748 -> best
[ Valid | 038/200 ] loss = 1.42338, acc = 0.65372
[ Valid | 039/200 ] loss = 1.44602, acc = 0.65581
[ Valid | 040/200 ] loss = 1.89047, acc = 0.59789
[ Valid | 041/200 ] loss = 1.31526, acc = 0.69059
[ Valid | 042/200 ] loss = 1.37423, acc = 0.69041
[ Valid | 043/200 ] loss = 1.50709, acc = 0.66565
[ Valid | 044/200 ] loss = 1.24021, acc = 0.68871
[ Valid | 045/200 ] loss = 1.30804, acc = 0.68558
[ Valid | 046/200 ] loss = 1.17796, acc = 0.70742
[ Valid | 047/200 ] loss = 2.15255, acc = 0.57693
[ Valid | 048/200 ] loss = 1.30321, acc = 0.69912
[ Valid | 049/200 ] loss = 1.63153, acc = 0.64822
[ Valid | 050/200 ] loss = 1.47520, acc = 0.68323
[ Valid | 051/200 ] loss = 1.08653, acc = 0.72536 -> best
[ Valid | 052/200 ] loss = 1.57974, acc = 0.69111
[ Valid | 053/200 ] loss = 2.12459, acc = 0.59961
[ Valid | 054/200 ] loss = 1.17904, acc = 0.72455
[ Valid | 055/200 ] loss = 1.41343, acc = 0.71314
[ Valid | 056/200 ] loss = 1.40636, acc = 0.68540
[ Valid | 057/200 ] loss = 1.28553, acc = 0.72838 -> best
[ Valid | 058/200 ] loss = 1.29507, acc = 0.72243
[ Valid | 059/200 ] loss = 1.81560, acc = 0.66545
[ Valid | 060/200 ] loss = 1.33682, acc = 0.72043
[ Valid | 061/200 ] loss = 1.53908, acc = 0.68603
[ Valid | 062/200 ] loss = 1.55124, acc = 0.68728
[ Valid | 063/200 ] loss = 2.55424, acc = 0.55409
[ Valid | 064/200 ] loss = 1.27145, acc = 0.71739
[ Valid | 065/200 ] loss = 1.28837, acc = 0.73379 -> best
[ Valid | 066/200 ] loss = 1.52292, acc = 0.70569
[ Valid | 067/200 ] loss = 2.03429, acc = 0.62124
[ Valid | 068/200 ] loss = 1.69351, acc = 0.67871
[ Valid | 069/200 ] loss = 1.18925, acc = 0.74922 -> best
[ Valid | 070/200 ] loss = 1.18042, acc = 0.76070 -> best
[ Valid | 071/200 ] loss = 1.32260, acc = 0.72202
[ Valid | 072/200 ] loss = 1.25901, acc = 0.73925
[ Valid | 073/200 ] loss = 1.32690, acc = 0.72842
[ Valid | 074/200 ] loss = 1.33749, acc = 0.73710
[ Valid | 075/200 ] loss = 1.67414, acc = 0.70308
[ Valid | 076/200 ] loss = 1.18730, acc = 0.76533 -> best
[ Valid | 077/200 ] loss = 1.37660, acc = 0.74292
[ Valid | 078/200 ] loss = 1.47249, acc = 0.72826
[ Valid | 079/200 ] loss = 1.98790, acc = 0.66753
[ Valid | 080/200 ] loss = 1.42423, acc = 0.73674
[ Valid | 081/200 ] loss = 2.69764, acc = 0.59520
[ Valid | 082/200 ] loss = 1.66019, acc = 0.71428
[ Valid | 083/200 ] loss = 1.88701, acc = 0.66813
[ Valid | 084/200 ] loss = 1.24840, acc = 0.76037
[ Valid | 085/200 ] loss = 1.17271, acc = 0.77083 -> best
[ Valid | 086/200 ] loss = 1.51156, acc = 0.71941
[ Valid | 087/200 ] loss = 1.41080, acc = 0.72912
[ Valid | 088/200 ] loss = 1.56269, acc = 0.72037
[ Valid | 089/200 ] loss = 1.48487, acc = 0.73144
[ Valid | 090/200 ] loss = 1.58105, acc = 0.73019
[ Valid | 091/200 ] loss = 1.52813, acc = 0.70835
[ Valid | 092/200 ] loss = 1.82003, acc = 0.67818
[ Valid | 093/200 ] loss = 1.82087, acc = 0.68916
[ Valid | 094/200 ] loss = 1.53111, acc = 0.73363
[ Valid | 095/200 ] loss = 1.39517, acc = 0.75272
[ Valid | 096/200 ] loss = 1.63640, acc = 0.72970
[ Valid | 097/200 ] loss = 1.57859, acc = 0.74260
[ Valid | 098/200 ] loss = 1.36537, acc = 0.74189
[ Valid | 099/200 ] loss = 1.49434, acc = 0.72710
[ Valid | 100/200 ] loss = 1.66116, acc = 0.73408
[ Valid | 101/200 ] loss = 1.43998, acc = 0.74733
